index,Address,latitude,longitude,geometry
50,"2416 W 8th Ave, Vancouver, BC",49.2645872,-123.1604719,POINT (-123.1604719 49.2645872)
51,"1669 W 8th Ave, Vancouver, BC",49.2646091,-123.1425642,POINT (-123.1425642 49.2646091)
52,"1221 W 8th Ave, Vancouver, BC",49.2644416,-123.1319455,POINT (-123.1319455 49.2644416)
53,"1294 W 8th Ave, Vancouver, BC",49.2643869,-123.1335724,POINT (-123.1335724 49.2643869)
54,"1209 W 8th Ave, Vancouver, BC",49.2644404,-123.1318395,POINT (-123.1318395 49.2644404)
55,"4487 W 8th Ave, Vancouver, BC",49.2658196,-123.2083968,POINT (-123.2083968 49.2658196)
56,"1139 W 8th Ave, Vancouver, BC",49.2644133,-123.1299896,POINT (-123.1299896 49.2644133)
57,"1325 W 8th Ave, Vancouver, BC",49.2644699,-123.1342709,POINT (-123.1342709 49.2644699)
58,"2765 W 8th Ave, Vancouver, BC",49.2651915,-123.1677023,POINT (-123.1677023 49.2651915)
59,"3636 W 8th Ave, Vancouver, BC",49.2649506,-123.1846556,POINT (-123.1846556 49.2649506)
60,"1159 W 8th Ave, Vancouver, BC",49.2644219,-123.130516,POINT (-123.130516 49.2644219)
61,"1360 W 8th Ave, Vancouver, BC",49.2644165,-123.1353872,POINT (-123.1353872 49.2644165)
62,"3358 W 8th Ave, Vancouver, BC",49.264875,-123.1790003,POINT (-123.1790003 49.264875)
63,"1367 W 8th Ave, Vancouver, BC",49.2644853,-123.1351907,POINT (-123.1351907 49.2644853)
64,"4360 W 8th Ave, Vancouver, BC",49.2652679,-123.2048308,POINT (-123.2048308 49.2652679)
65,"1333 W 8th Ave, Vancouver, BC",49.2644728,-123.1344461,POINT (-123.1344461 49.2644728)
66,"1681 W 8th Ave, Vancouver, BC",49.2646127,-123.1428525,POINT (-123.1428525 49.2646127)
67,"593 W 7th Ave, Vancouver, BC",49.2650444,-123.1171209,POINT (-123.1171209 49.2650444)
68,"4605 W 7th Ave, Vancouver, BC",49.2667332,-123.2123808,POINT (-123.2123808 49.2667332)
69,"3149 W 7th Ave, Vancouver, BC",49.2661378,-123.1749394,POINT (-123.1749394 49.2661378)
70,"4796 W 7th Ave, Vancouver, BC",49.2663878,-123.219243,POINT (-123.219243 49.2663878)
71,"1284 W 7th Ave, Vancouver, BC",49.265228,-123.1333916,POINT (-123.1333916 49.265228)
72,"4469 W 7th Ave, Vancouver, BC",49.2666675,-123.2080985,POINT (-123.2080985 49.2666675)
73,"1320 W 7th Ave, Vancouver, BC",49.2652397,-123.1341849,POINT (-123.1341849 49.2652397)
74,"4498 W 7th Ave, Vancouver, BC",49.2661889,-123.2087455,POINT (-123.2087455 49.2661889)
75,"4575 W 7th Ave, Vancouver, BC",49.2667226,-123.2109252,POINT (-123.2109252 49.2667226)
76,"1354 W 7th Ave, Vancouver, BC",49.265251,-123.1349817,POINT (-123.1349817 49.265251)
77,"3015 W 7th Ave, Vancouver, BC",49.2661181,-123.1724678,POINT (-123.1724678 49.2661181)
78,"1628 W 7th Ave, Vancouver, BC",49.2653629,-123.1416759,POINT (-123.1416759 49.2653629)
79,"954 W 7th Ave, Vancouver, BC",49.2651063,-123.1255753,POINT (-123.1255753 49.2651063)
80,"3381 W 7th Ave, Vancouver, BC",49.2662084,-123.1793588,POINT (-123.1793588 49.2662084)
81,"4407 W 7th Ave, Vancouver, BC",49.266639,-123.2063006,POINT (-123.2063006 49.266639)
82,"3025 W 7th Ave, Vancouver, BC",49.2661221,-123.1726186,POINT (-123.1726186 49.2661221)
83,"2347 W 7th Ave, Vancouver, BC",49.2656985,-123.1587938,POINT (-123.1587938 49.2656985)
84,"2375 W 7th Ave, Vancouver, BC",49.2659346,-123.1593041,POINT (-123.1593041 49.2659346)
85,"2375 W 7th Ave, Vancouver, BC",49.2659346,-123.1593041,POINT (-123.1593041 49.2659346)
86,"832 W 7th Ave, Vancouver, BC",49.2650609,-123.1226507,POINT (-123.1226507 49.2650609)
87,"1272 W 7th Ave, Vancouver, BC",49.2652252,-123.1332073,POINT (-123.1332073 49.2652252)
88,"1157 W 73rd Ave, Vancouver, BC",49.2043189,-123.1327415,POINT (-123.1327415 49.2043189)
89,"1169 W 73rd Ave, Vancouver, BC",49.2043153,-123.1329363,POINT (-123.1329363 49.2043153)
90,"687 W 71st Ave, Vancouver, BC",49.2076407,-123.1207181,POINT (-123.1207181 49.2076407)
91,"4724 W 6th Ave, Vancouver, BC",49.2671226,-123.2163003,POINT (-123.2163003 49.2671226)
92,"4566 W 6th Ave, Vancouver, BC",49.2670557,-123.2109189,POINT (-123.2109189 49.2670557)
93,"1290 W 6th Ave, Vancouver, BC",49.2660597,-123.1335083,POINT (-123.1335083 49.2660597)
94,"2146 W 6th Ave, Vancouver, BC",49.2663975,-123.1540208,POINT (-123.1540208 49.2663975)
95,"4491 W 6th Ave, Vancouver, BC",49.2675277,-123.2086238,POINT (-123.2086238 49.2675277)
96,"4446 W 6th Ave, Vancouver, BC",49.2670213,-123.2075002,POINT (-123.2075002 49.2670213)
97,"750 W 6th Ave, Vancouver, BC",49.2656543,-123.1211977,POINT (-123.1211977 49.2656543)
98,"2393 W 6th Ave, Vancouver, BC",49.2667645,-123.1596929,POINT (-123.1596929 49.2667645)
99,"4685 W 6th Ave, Vancouver, BC",49.2676165,-123.2144984,POINT (-123.2144984 49.2676165)
100,"1274 W 6th Ave, Vancouver, BC",49.2658793,-123.1333697,POINT (-123.1333697 49.2658793)
101,"2483 W 6th Ave, Vancouver, BC",49.2668121,-123.1618469,POINT (-123.1618469 49.2668121)
102,"4774 W 6th Ave, Vancouver, BC",49.2670601,-123.2184197,POINT (-123.2184197 49.2670601)
103,"807 W 69th Ave, Vancouver, BC",49.2094091,-123.1245329,POINT (-123.1245329 49.2094091)
104,"1517 W 66th Ave, Vancouver, BC",49.2116427,-123.1414515,POINT (-123.1414515 49.2116427)
105,"836 W 66th Ave, Vancouver, BC",49.2111685,-123.1253159,POINT (-123.1253159 49.2111685)
106,"1656 W 65th Ave, Vancouver, BC",49.2120723,-123.1447458,POINT (-123.1447458 49.2120723)
107,"595 W 65th Ave, Vancouver, BC",49.2117374,-123.1199701,POINT (-123.1199701 49.2117374)
108,"1671 W 64th Ave, Vancouver, BC",49.2134683,-123.1454148,POINT (-123.1454148 49.2134683)
109,"276 W 64th Ave, Vancouver, BC",49.2122777,-123.1118814,POINT (-123.1118814 49.2122777)
110,"1243 W 64th Ave, Vancouver, BC",49.2132857,-123.133446,POINT (-123.133446 49.2132857)
111,"1317 W 64th Ave, Vancouver, BC",49.2133042,-123.1348171,POINT (-123.1348171 49.2133042)
112,"1545 W 63rd Ave, Vancouver, BC",49.2142761,-123.1419069,POINT (-123.1419069 49.2142761)
113,"292 W 63rd Ave, Vancouver, BC",49.2131654,-123.1124026,POINT (-123.1124026 49.2131654)
114,"890 W 63rd Ave, Vancouver, BC",49.2135366,-123.126967,POINT (-123.126967 49.2135366)
115,"225 W 63rd Ave, Vancouver, BC",49.2136332,-123.1106993,POINT (-123.1106993 49.2136332)
116,"1877 W 63rd Ave, Vancouver, BC",49.214418,-123.1506672,POINT (-123.1506672 49.214418)
117,"522 W 62nd Ave, Vancouver, BC",49.2138867,-123.1181489,POINT (-123.1181489 49.2138867)
118,"1856 W 62nd Ave, Vancouver, BC",49.2148197,-123.1501897,POINT (-123.1501897 49.2148197)
119,"747 W 62nd Ave, Vancouver, BC",49.214486,-123.1220366,POINT (-123.1220366 49.214486)
120,"280 W 62nd Ave, Vancouver, BC",49.2142511,-123.1121391,POINT (-123.1121391 49.2142511)
121,"898 W 61st Ave, Vancouver, BC",49.2153224,-123.1270487,POINT (-123.1270487 49.2153224)
122,"741 W 61st Ave, Vancouver, BC",49.2153797,-123.1214322,POINT (-123.1214322 49.2153797)
123,"871 W 61st Ave, Vancouver, BC",49.2158354,-123.1263582,POINT (-123.1263582 49.2158354)
124,"1756 W 61st Ave, Vancouver, BC",49.215727,-123.1470325,POINT (-123.1470325 49.215727)
125,"747 W 61st Ave, Vancouver, BC",49.2153848,-123.121624,POINT (-123.121624 49.2153848)
126,"82 W 60th Ave, Vancouver, BC",49.2157172,-123.1081268,POINT (-123.1081268 49.2157172)
127,"1895 W 60th Ave, Vancouver, BC",49.2174034,-123.1508134,POINT (-123.1508134 49.2174034)
128,"807 W 60th Ave, Vancouver, BC",49.2163492,-123.1246796,POINT (-123.1246796 49.2163492)
129,"1899 W 60th Ave, Vancouver, BC",49.217407,-123.1509504,POINT (-123.1509504 49.217407)
130,"3548 W 5th Ave, Vancouver, BC",49.2674595,-123.1827723,POINT (-123.1827723 49.2674595)
131,"3112 W 5th Ave, Vancouver, BC",49.2673076,-123.1742087,POINT (-123.1742087 49.2673076)
132,"1742 W 59th Ave, Vancouver, BC",49.2174695,-123.1465,POINT (-123.1465 49.2174695)
133,"961 W 59th Ave, Vancouver, BC",49.2171301,-123.1284993,POINT (-123.1284993 49.2171301)
134,"1485 W 59th Ave, Vancouver, BC",49.2172859,-123.1395721,POINT (-123.1395721 49.2172859)
135,"818 W 59th Ave, Vancouver, BC",49.2167615,-123.1249422,POINT (-123.1249422 49.2167615)
136,"871 W 59th Ave, Vancouver, BC",49.2170852,-123.1265011,POINT (-123.1265011 49.2170852)
137,"1623 W 59th Ave, Vancouver, BC",49.2179294,-123.1441387,POINT (-123.1441387 49.2179294)
138,"870 W 59th Ave, Vancouver, BC",49.2167805,-123.1263272,POINT (-123.1263272 49.2167805)
139,"1332 W 58th Ave, Vancouver, BC",49.2180047,-123.1354329,POINT (-123.1354329 49.2180047)
140,"1115 W 58th Ave, Vancouver, BC",49.2184822,-123.130696,POINT (-123.130696 49.2184822)
141,"1748 W 58th Ave, Vancouver, BC",49.218321,-123.146681,POINT (-123.146681 49.218321)
142,"1658 W 58th Ave, Vancouver, BC",49.2185402,-123.1446945,POINT (-123.1446945 49.2185402)
143,"1492 W 58th Ave, Vancouver, BC",49.2183297,-123.1393726,POINT (-123.1393726 49.2183297)
144,"1582 W 58th Ave, Vancouver, BC",49.2182713,-123.1431021,POINT (-123.1431021 49.2182713)
145,"2184 W 57th Ave, Vancouver, BC",49.2193005,-123.1571612,POINT (-123.1571612 49.2193005)
146,"1949 W 57th Ave, Vancouver, BC",49.2198152,-123.1517497,POINT (-123.1517497 49.2198152)
147,"1010 W 57th Ave, Vancouver, BC",49.2188859,-123.1289418,POINT (-123.1289418 49.2188859)
148,"1516 W 57th Ave, Vancouver, BC",49.2193211,-123.1409465,POINT (-123.1409465 49.2193211)
149,"1299 W 57th Ave, Vancouver, BC",49.2194678,-123.1335448,POINT (-123.1335448 49.2194678)
150,"2198 W 57th Ave, Vancouver, BC",49.2193182,-123.1578326,POINT (-123.1578326 49.2193182)
151,"2126 W 57th Ave, Vancouver, BC",49.2191417,-123.1555789,POINT (-123.1555789 49.2191417)
152,"3350 W 55th Ave, Vancouver, BC",49.2214459,-123.1799437,POINT (-123.1799437 49.2214459)
153,"3287 W 55th Ave, Vancouver, BC",49.221646,-123.1785522,POINT (-123.1785522 49.221646)
154,"3350 W 55th Ave, Vancouver, BC",49.2214459,-123.1799437,POINT (-123.1799437 49.2214459)
155,"2185 W 54th Ave, Vancouver, BC",49.2222177,-123.1577924,POINT (-123.1577924 49.2222177)
156,"1038 W 54th Ave, Vancouver, BC",49.2212503,-123.1294407,POINT (-123.1294407 49.2212503)
157,"1388 W 54th Ave, Vancouver, BC",49.2213987,-123.1373921,POINT (-123.1373921 49.2213987)
158,"642 W 52nd Ave, Vancouver, BC",49.2232936,-123.1192533,POINT (-123.1192533 49.2232936)
159,"1008 W 52nd Ave, Vancouver, BC",49.2237477,-123.1288471,POINT (-123.1288471 49.2237477)
160,"1369 W 51st Ave, Vancouver, BC",49.2251641,-123.1367208,POINT (-123.1367208 49.2251641)
161,"3138 W 51st Ave, Vancouver, BC",49.2248629,-123.1751585,POINT (-123.1751585 49.2248629)
162,"3549 W 50th Ave, Vancouver, BC",49.2267745,-123.1838409,POINT (-123.1838409 49.2267745)
163,"3896 W 50th Ave, Vancouver, BC",49.2262618,-123.1907763,POINT (-123.1907763 49.2262618)
164,"4411 W 4th Ave, Vancouver, BC",49.2693098,-123.2064832,POINT (-123.2064832 49.2693098)
165,"3167 W 4th Ave, Vancouver, BC",49.2685161,-123.1750356,POINT (-123.1750356 49.2685161)
166,"4659 W 4th Ave, Vancouver, BC",49.2694215,-123.2135931,POINT (-123.2135931 49.2694215)
167,"4533 W 4th Ave, Vancouver, BC",49.2693799,-123.2105869,POINT (-123.2105869 49.2693799)
168,"2558 W 4th Ave, Vancouver, BC",49.2680345,-123.1638055,POINT (-123.1638055 49.2680345)
169,"1734 W 49th Ave, Vancouver, BC",49.2270128,-123.1460713,POINT (-123.1460713 49.2270128)
170,"2139 W 49th Ave, Vancouver, BC",49.2274462,-123.1569233,POINT (-123.1569233 49.2274462)
171,"87 W 49th Ave, Vancouver, BC",49.2261105,-123.108056,POINT (-123.108056 49.2261105)
172,"1225 W 48th Ave, Vancouver, BC",49.2279327,-123.1337909,POINT (-123.1337909 49.2279327)
173,"131 W 48th Ave, Vancouver, BC",49.227058,-123.1091226,POINT (-123.1091226 49.227058)
174,"1205 W 48th Ave, Vancouver, BC",49.2279262,-123.1335442,POINT (-123.1335442 49.2279262)
175,"3651 W 48th Ave, Vancouver, BC",49.2285595,-123.1863133,POINT (-123.1863133 49.2285595)
176,"3263 W 48th Ave, Vancouver, BC",49.2288303,-123.1773743,POINT (-123.1773743 49.2288303)
177,"2890 W 47th Ave, Vancouver, BC",49.2290827,-123.1701659,POINT (-123.1701659 49.2290827)
178,"1319 W 47th Ave, Vancouver, BC",49.2289071,-123.1355427,POINT (-123.1355427 49.2289071)
179,"2004 W 47th Ave, Vancouver, BC",49.2286978,-123.1524676,POINT (-123.1524676 49.2286978)
180,"825 W 46th Ave, Vancouver, BC",49.2294412,-123.1244728,POINT (-123.1244728 49.2294412)
181,"792 W 46th Ave, Vancouver, BC",49.2288905,-123.1237519,POINT (-123.1237519 49.2288905)
182,"341 W 46th Ave, Vancouver, BC",49.2289652,-123.1137399,POINT (-123.1137399 49.2289652)
183,"876 W 46th Ave, Vancouver, BC",49.2289611,-123.1257243,POINT (-123.1257243 49.2289611)
184,"764 W 46th Ave, Vancouver, BC",49.2288683,-123.1232591,POINT (-123.1232591 49.2288683)
185,"1068 W 45th Ave, Vancouver, BC",49.2300254,-123.1301748,POINT (-123.1301748 49.2300254)
186,"2905 W 45th Ave, Vancouver, BC",49.2312558,-123.1705963,POINT (-123.1705963 49.2312558)
187,"878 W 45th Ave, Vancouver, BC",49.2298943,-123.1259273,POINT (-123.1259273 49.2298943)
188,"2307 W 45th Ave, Vancouver, BC",49.2311924,-123.1603043,POINT (-123.1603043 49.2311924)
189,"239 W 45th Ave, Vancouver, BC",49.2299121,-123.1117591,POINT (-123.1117591 49.2299121)
190,"129 W 45th Ave, Vancouver, BC",49.2298225,-123.1090877,POINT (-123.1090877 49.2298225)
191,"2519 W 45th Ave, Vancouver, BC",49.2312427,-123.163239,POINT (-123.163239 49.2312427)
192,"2079 W 45th Ave, Vancouver, BC",49.2311086,-123.1540495,POINT (-123.1540495 49.2311086)
193,"2073 W 45th Ave, Vancouver, BC",49.231105,-123.1539124,POINT (-123.1539124 49.231105)
194,"1456 W 45th Ave, Vancouver, BC",49.2303135,-123.1386408,POINT (-123.1386408 49.2303135)
195,"2971 W 44th Ave, Vancouver, BC",49.2321547,-123.1722438,POINT (-123.1722438 49.2321547)
196,"2090 W 44th Ave, Vancouver, BC",49.2315382,-123.154284,POINT (-123.154284 49.2315382)
197,"3193 W 43rd Ave, Vancouver, BC",49.2330716,-123.1756063,POINT (-123.1756063 49.2330716)
198,"20 W 43rd Ave, Vancouver, BC",49.2310603,-123.1065396,POINT (-123.1065396 49.2310603)
199,"3530 W 43rd Ave, Vancouver, BC",49.2325061,-123.1829166,POINT (-123.1829166 49.2325061)
200,"3515 W 43rd Ave, Vancouver, BC",49.2331256,-123.1824946,POINT (-123.1824946 49.2331256)
201,"2947 W 43rd Ave, Vancouver, BC",49.2330659,-123.1716117,POINT (-123.1716117 49.2330659)
202,"3538 W 43rd Ave, Vancouver, BC",49.2325115,-123.1831222,POINT (-123.1831222 49.2325115)
203,"3514 W 43rd Ave, Vancouver, BC",49.232504,-123.1824912,POINT (-123.1824912 49.232504)
204,"3527 W 42nd Ave, Vancouver, BC",49.2340817,-123.1828897,POINT (-123.1828897 49.2340817)
205,"1933 W 42nd Ave, Vancouver, BC",49.2337987,-123.1501778,POINT (-123.1501778 49.2337987)
206,"888 W 42nd Ave, Vancouver, BC",49.232653,-123.1250014,POINT (-123.1250014 49.232653)
207,"3066 W 42nd Ave, Vancouver, BC",49.233481,-123.1740438,POINT (-123.1740438 49.233481)
208,"2910 W 42nd Ave, Vancouver, BC",49.2334908,-123.1706386,POINT (-123.1706386 49.2334908)
209,"2967 W 42nd Ave, Vancouver, BC",49.2337891,-123.1722129,POINT (-123.1722129 49.2337891)
210,"745 W 42nd Ave, Vancouver, BC",49.2328588,-123.1229754,POINT (-123.1229754 49.2328588)
211,"1177 W 41st Ave, Vancouver, BC",49.2343881,-123.1319782,POINT (-123.1319782 49.2343881)
212,"2910 W 41st Ave, Vancouver, BC",49.2344671,-123.1707713,POINT (-123.1707713 49.2344671)
213,"4063 W 40th Ave, Vancouver, BC",49.2358673,-123.1957552,POINT (-123.1957552 49.2358673)
214,"3491 W 40th Ave, Vancouver, BC",49.2359165,-123.1817486,POINT (-123.1817486 49.2359165)
215,"4410 W 3rd Ave, Vancouver, BC",49.2698281,-123.2063283,POINT (-123.2063283 49.2698281)
216,"2862 W 3rd Ave, Vancouver, BC",49.2690282,-123.1697487,POINT (-123.1697487 49.2690282)
217,"1893 W 3rd Ave, Vancouver, BC",49.2689783,-123.1477175,POINT (-123.1477175 49.2689783)
218,"3316 W 3rd Ave, Vancouver, BC",49.2691401,-123.1781501,POINT (-123.1781501 49.2691401)
219,"3843 W 3rd Ave, Vancouver, BC",49.2698254,-123.1888799,POINT (-123.1888799 49.2698254)
220,"4020 W 39th Ave, Vancouver, BC",49.2362205,-123.1944434,POINT (-123.1944434 49.2362205)
221,"1235 W 39th Ave, Vancouver, BC",49.2362523,-123.1333184,POINT (-123.1333184 49.2362523)
222,"2528 W 39th Ave, Vancouver, BC",49.2363641,-123.1630908,POINT (-123.1630908 49.2363641)
223,"2952 W 39th Ave, Vancouver, BC",49.2363567,-123.171727,POINT (-123.171727 49.2363567)
224,"2469 W 39th Ave, Vancouver, BC",49.2365609,-123.1622388,POINT (-123.1622388 49.2365609)
225,"3533 W 38th Ave, Vancouver, BC",49.23797,-123.1831205,POINT (-123.1831205 49.23797)
226,"2775 W 38th Ave, Vancouver, BC",49.2378247,-123.167601,POINT (-123.167601 49.2378247)
227,"1749 W 38th Ave, Vancouver, BC",49.2372569,-123.145723,POINT (-123.145723 49.2372569)
228,"1425 W 38th Ave, Vancouver, BC",49.2373228,-123.1376733,POINT (-123.1376733 49.2373228)
229,"4068 W 38th Ave, Vancouver, BC",49.2373083,-123.1957506,POINT (-123.1957506 49.2373083)
230,"1763 W 38th Ave, Vancouver, BC",49.2372645,-123.1460109,POINT (-123.1460109 49.2372645)
231,"3902 W 38th Ave, Vancouver, BC",49.2372809,-123.1912352,POINT (-123.1912352 49.2372809)
232,"2854 W 38th Ave, Vancouver, BC",49.237292,-123.1692673,POINT (-123.1692673 49.237292)
233,"3824 W 38th Ave, Vancouver, BC",49.2372731,-123.1888605,POINT (-123.1888605 49.2372731)
234,"3638 W 37th Ave, Vancouver, BC",49.2382958,-123.186286,POINT (-123.186286 49.2382958)
235,"1238 W 37th Ave, Vancouver, BC",49.2375754,-123.1332778,POINT (-123.1332778 49.2375754)
236,"3937 W 37th Ave, Vancouver, BC",49.2388696,-123.192059,POINT (-123.192059 49.2388696)
237,"2728 W 37th Ave, Vancouver, BC",49.2384756,-123.166657,POINT (-123.166657 49.2384756)
238,"3950 W 37th Ave, Vancouver, BC",49.2383246,-123.1922293,POINT (-123.1922293 49.2383246)
239,"3657 W 37th Ave, Vancouver, BC",49.2388437,-123.1862254,POINT (-123.1862254 49.2388437)
240,"1897 W 37th Ave, Vancouver, BC",49.2384457,-123.1484371,POINT (-123.1484371 49.2384457)
241,"2338 W 37th Ave, Vancouver, BC",49.238111,-123.1603341,POINT (-123.1603341 49.238111)
242,"3378 W 37th Ave, Vancouver, BC",49.2383128,-123.1800379,POINT (-123.1800379 49.2383128)
243,"1877 W 37th Ave, Vancouver, BC",49.238442,-123.1483001,POINT (-123.1483001 49.238442)
244,"2019 W 36th Ave, Vancouver, BC",49.2394007,-123.1525388,POINT (-123.1525388 49.2394007)
245,"2720 W 36th Ave, Vancouver, BC",49.2391873,-123.1663233,POINT (-123.1663233 49.2391873)
246,"1703 W 36th Ave, Vancouver, BC",49.2392768,-123.1444454,POINT (-123.1444454 49.2392768)
247,"1876 W 36th Ave, Vancouver, BC",49.2388291,-123.14829,POINT (-123.14829 49.2388291)
248,"3265 W 36th Ave, Vancouver, BC",49.2397684,-123.1774918,POINT (-123.1774918 49.2397684)
249,"2768 W 36th Ave, Vancouver, BC",49.2391859,-123.1672982,POINT (-123.1672982 49.2391859)
250,"3158 W 36th Ave, Vancouver, BC",49.2392203,-123.1751361,POINT (-123.1751361 49.2392203)
251,"3205 W 36th Ave, Vancouver, BC",49.239757,-123.1760233,POINT (-123.1760233 49.239757)
252,"3214 W 36th Ave, Vancouver, BC",49.2392221,-123.1762344,POINT (-123.1762344 49.2392221)
253,"2034 W 35th Ave, Vancouver, BC",49.2397897,-123.1529406,POINT (-123.1529406 49.2397897)
254,"2149 W 35th Ave, Vancouver, BC",49.2405366,-123.1566707,POINT (-123.1566707 49.2405366)
255,"3726 W 35th Ave, Vancouver, BC",49.2402162,-123.1870484,POINT (-123.1870484 49.2402162)
256,"3418 W 35th Ave, Vancouver, BC",49.240184,-123.1806382,POINT (-123.1806382 49.240184)
257,"3608 W 35th Ave, Vancouver, BC",49.2402042,-123.1855525,POINT (-123.1855525 49.2402042)
258,"2326 W 35th Ave, Vancouver, BC",49.2400456,-123.160257,POINT (-123.160257 49.2400456)
259,"2047 W 35th Ave, Vancouver, BC",49.2404314,-123.1530248,POINT (-123.1530248 49.2404314)
260,"1849 W 35th Ave, Vancouver, BC",49.2402182,-123.1476829,POINT (-123.1476829 49.2402182)
